Week,Day,StartTime,EndTime,ActivityName,ActivityType,Details,Location
3,Wednesday,14:30,16:00,Học tập,study,Kỹ năng sống,Lớp học
3,Wednesday,16:00,17:00,Trả trẻ,dropoff,Chuẩn bị đồ,Cổng A
3,Thursday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ,Sân trường
3,Thursday,08:30,09:00,Ăn sáng,meal,Mì + trứng,Phòng ăn
3,Thursday,09:00,10:15,Học tập,study,Hoạt động học tập,Lớp học
3,Thursday,10:15,11:15,Vui chơi tự do,play,Chơi tự do,Lớp học
3,Thursday,11:15,14:00,Ăn trưa & Ngủ trưa,nap,Cơm + thịt,Phòng ngủ
3,Thursday,14:00,14:30,Ăn xế,meal,Trái cây,Phòng ăn
3,Thursday,14:30,16:00,Học tập,study,Thủ công,Lớp học
3,Thursday,16:00,17:00,Trả trẻ,dropoff,Chuẩn bị đồ,Cổng A
3,Friday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ,Sân trường
3,Friday,08:30,09:00,Ăn sáng,meal,Bánh bao + sữa,Phòng ăn
3,Friday,09:00,10:15,Học tập,study,Tiếng Anh cơ bản,Lớp học
3,Friday,10:15,11:15,Vận động,play,Nhảy lò cò,Sân vườn
3,Friday,11:15,14:00,Ăn trưa & Ngủ trưa,nap,Cơm + rau,Phòng ngủ
3,Friday,14:00,14:30,Ăn xế,meal,Sữa chua,Phòng ăn
3,Friday,14:30,16:00,Học tập,study,Mĩ thuật,Lớp học
3,Friday,16:00,17:00,Trả trẻ & Dọn lớp,dropoff,Dọn dẹp và trả trẻ,Cổng A
3,Saturday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ cuối tuần,Sân trường
3,Saturday,08:30,09:00,Ăn sáng,meal,Bánh mì + sữa,Phòng ăn
3,Saturday,09:00,10:00,Hoạt động nghệ thuật,study,Vẽ tranh tự do,Lớp học
3,Saturday,10:00,11:00,Kể chuyện & Hát múa,study,Thi kể chuyện,Lớp học
3,Saturday,11:00,12:00,Ăn trưa sớm,meal,Cơm + canh,Phòng ăn
3,Saturday,12:00,13:30,Ngủ trưa,nap,Giấc ngủ ngắn,Phòng ngủ
3,Saturday,13:30,14:30,Ăn xế,meal,Trái cây,Phòng ăn
3,Saturday,14:30,15:30,Trả trẻ cuối tuần,dropoff,Trả trẻ cho phụ huynh,Cổng A
4,Monday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ,Sân trường
4,Monday,08:30,09:00,Ăn sáng,meal,Suất ăn sáng,Phòng ăn
4,Monday,09:00,10:15,Học tập,study,Hoạt động học tập,Lớp học
4,Monday,10:15,11:15,Vui chơi tự do,play,Chơi tự do,Lớp học
4,Monday,11:15,14:00,Ăn trưa & Ngủ trưa,nap,Cơm + giấc ngủ,Phòng ngủ
4,Monday,14:00,14:30,Ăn xế,meal,Trái cây + sữa,Phòng ăn
4,Monday,14:30,16:00,Hoạt động chiều,study,Kể chuyện hoặc thủ công,Lớp học
4,Monday,16:00,17:00,Trả trẻ,dropoff,Chuẩn bị đồ dùng,Cổng A
4,Tuesday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ,Sân trường
4,Tuesday,08:30,09:00,Ăn sáng,meal,Bánh mì + sữa,Phòng ăn
4,Tuesday,09:00,10:15,Học tập,study,Hoạt động học tập,Lớp học
4,Tuesday,10:15,11:15,Vận động ngoài trời,play,Trò chơi vận động,Sân vườn
4,Tuesday,11:15,14:00,Ăn trưa & Ngủ trưa,nap,Cơm + giấc ngủ,Phòng ngủ
4,Tuesday,14:00,14:30,Ăn xế,meal,Cháo + trái cây,Phòng ăn
4,Tuesday,14:30,16:00,Học tập,study,Hoạt động nhóm,Lớp học
4,Tuesday,16:00,17:00,Trả trẻ,dropoff,Chuẩn bị đồ,Cổng A
4,Wednesday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ,Sân trường
4,Wednesday,08:30,09:00,Ăn sáng,meal,Xôi + sữa,Phòng ăn
4,Wednesday,09:00,10:15,Học tập,study,Hoạt động học tập,Lớp học
4,Wednesday,10:15,11:15,Vui chơi tự do,play,Chơi tự do,Lớp học
4,Wednesday,11:15,14:00,Ăn trưa & Ngủ trưa,nap,Cơm + canh,Phòng ngủ
4,Wednesday,14:00,14:30,Ăn xế,meal,Bánh flan,Phòng ăn
4,Wednesday,14:30,16:00,Học tập,study,Kỹ năng sống,Lớp học
4,Wednesday,16:00,17:00,Trả trẻ,dropoff,Chuẩn bị đồ,Cổng A
4,Thursday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ,Sân trường
4,Thursday,08:30,09:00,Ăn sáng,meal,Mì + trứng,Phòng ăn
4,Thursday,09:00,10:15,Học tập,study,Hoạt động học tập,Lớp học
4,Thursday,10:15,11:15,Vui chơi tự do,play,Chơi tự do,Lớp học
4,Thursday,11:15,14:00,Ăn trưa & Ngủ trưa,nap,Cơm + thịt,Phòng ngủ
4,Thursday,14:00,14:30,Ăn xế,meal,Trái cây,Phòng ăn
4,Thursday,14:30,16:00,Học tập,study,Thủ công,Lớp học
4,Thursday,16:00,17:00,Trả trẻ,dropoff,Chuẩn bị đồ,Cổng A
4,Friday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ,Sân trường
4,Friday,08:30,09:00,Ăn sáng,meal,Bánh bao + sữa,Phòng ăn
4,Friday,09:00,10:15,Học tập,study,Tiếng Anh cơ bản,Lớp học
4,Friday,10:15,11:15,Vận động,play,Nhảy lò cò,Sân vườn
4,Friday,11:15,14:00,Ăn trưa & Ngủ trưa,nap,Cơm + rau,Phòng ngủ
4,Friday,14:00,14:30,Ăn xế,meal,Sữa chua,Phòng ăn
4,Friday,14:30,16:00,Học tập,study,Mĩ thuật,Lớp học
4,Friday,16:00,17:00,Trả trẻ & Dọn lớp,dropoff,Dọn dẹp và trả trẻ,Cổng A
4,Saturday,07:30,08:30,Đón bé & Thể dục sáng,pickup,Tập bài dân vũ cuối tuần,Sân trường
4,Saturday,08:30,09:00,Ăn sáng,meal,Bánh mì + sữa,Phòng ăn
4,Saturday,09:00,10:00,Hoạt động nghệ thuật,study,Vẽ tranh tự do,Lớp học
4,Saturday,10:00,11:00,Kể chuyện & Hát múa,study,Thi kể chuyện,Lớp học
4,Saturday,11:00,12:00,Ăn trưa sớm,meal,Cơm + canh,Phòng ăn
4,Saturday,12:00,13:30,Ngủ trưa,nap,Giấc ngủ ngắn,Phòng ngủ
4,Saturday,13:30,14:30,Ăn xế,meal,Trái cây,Phòng ăn
4,Saturday,14:30,15:30,Trả trẻ cuối tuần,dropoff,Trả trẻ cho phụ huynh,Cổng A
